aid,bvid,cid,title
115880969114331,BV1eZttzsECc,38258672024,胖龙买两扇羊排，三斤海螺，做“羊排鲜”，和儿子大口吃肉真香
116429953178138,BV14P546xEDp,38258672024,老爸钓鱼有点累，胖龙炖5斤红烧肉，拌上米饭，真好吃
116429953178138,BV14P546xEDp,38258672024,老爸钓鱼有点累，胖龙炖5斤红烧肉，拌上米饭，真好吃
115489439292803,BV14P546xEDp,38258672024,儿子给胖龙补办生日，把胖龙高兴坏了，给他们做个“铁板肥肠”
115489439292803,BV14P546xEDp,38258672024,儿子给胖龙补办生日，把胖龙高兴坏了，给他们做个“铁板肥肠”
113366752498932,BV14P546xEDp,38258672024,胖龙40元在网上买了八斤肉，儿子看了都嫌弃，做好却抢着吃
113366752498932,BV14P546xEDp,29585704777,胖龙40元在网上买了八斤肉，儿子看了都嫌弃，做好却抢着吃
1654903364,BV14P546xEDp,29585704777,胖龙做个“铁板猪蹄煎螺蛳粉”两个团队开始上才艺了，非要一决高下
1654903364,BV1d1L3zLENp,27869972503,胖龙做个“铁板猪蹄煎螺蛳粉”两个团队开始上才艺了，非要一决高下
116499461182797,BV1d1L3zLENp,27869972503,2026年第一顿麻辣虾尾，吃完虾尾再拌上烩面，爷俩过瘾了
116499461182797,BV1sCcaeoE5i,26639468375,2026年第一顿麻辣虾尾，吃完虾尾再拌上烩面，爷俩过瘾了
116005389014536,BV1sCcaeoE5i,26639468375,过三八妇女节，学校让儿子录祝福视频！胖龙有点为难了
116005389014536,BV1cQD3YvEYN,37447339370,过三八妇女节，学校让儿子录祝福视频！胖龙有点为难了
116645355854018,BV1cQD3YvEYN,37447339370,儿子要去找他妈了，胖龙给他2000元，再给他做个“香肠包蛋”美滋滋
116645355854018,BV1qaDDBcEju,29747252429,儿子要去找他妈了，胖龙给他2000元，再给他做个“香肠包蛋”美滋滋
116220993016962,BV1qaDDBcEju,29747252429,胖龙第一次尝试用魔鬼椒做“麻辣虾尾”没想到这味真上头
116220993016962,BV11UV3zxEbv,1188187213,胖龙第一次尝试用魔鬼椒做“麻辣虾尾”没想到这味真上头
116191968370244,BV11UV3zxEbv,1188187213,儿子替胖龙拍视频，有模有样，一点不输给胖龙
116191968370244,BV1gM4y1j7h4,27793097022,儿子替胖龙拍视频，有模有样，一点不输给胖龙
116064360865654,BV1gM4y1j7h4,27793097022,儿子暑假工结束了，最后一次发工资，报复性消费一把，满碗都是肉
116064360865654,BV1KFcnetEUh,35336750888,儿子暑假工结束了，最后一次发工资，报复性消费一把，满碗都是肉
113468791329030,BV1KFcnetEUh,35336750888,老高干活有口福了，胖龙炸鸡外脆里流油！
113468791329030,BV1y4rhB8Esb,37632934838,老高干活有口福了，胖龙炸鸡外脆里流油！
114788705244841,BV1y4rhB8Esb,37632934838,给儿子改卷子，结果把他气哭了，吃一顿小火锅才哄好！
114788705244841,BV1owddB9EMR,33678887923,给儿子改卷子，结果把他气哭了，吃一顿小火锅才哄好！
115037091927095,BV1owddB9EMR,33678887923,儿子的通知书送到了，把胖龙气的够呛，，这是一个压抑的视频
115037091927095,BV1iD1zBDEJz,26453479385,儿子的通知书送到了，把胖龙气的够呛，，这是一个压抑的视频
114974244542388,BV1iD1zBDEJz,26453479385,强彬传媒虽然倒闭了，但是两人都不甘心
114974244542388,BV1o7ySYDE6B,1554750452,强彬传媒虽然倒闭了，但是两人都不甘心
465465495,BV1o7ySYDE6B,1554750452,胖龙带儿子在大学附近吃冒烤鸭，58一份，看看怎么样
465465495,BV1pE421F7j6,38011538544,胖龙带儿子在大学附近吃冒烤鸭，58一份，看看怎么样
116877569301912,BV1pE421F7j6,38011538544,胖龙伤心了，小哥带儿子吃饭，一口米线一口馍，儿子真饿了
116877569301912,BV1kERuBYE2Y,35789737150,胖龙伤心了，小哥带儿子吃饭，一口米线一口馍，儿子真饿了
1400902544,BV1kERuBYE2Y,35789737150,儿子真能吃，10个烤串一个鸡翅，两碗泡面，胖龙看的流口水
1400902544,BV1NsF5zYEUf,38646450423,儿子真能吃，10个烤串一个鸡翅，两碗泡面，胖龙看的流口水
1055456579,BV1NsF5zYEUf,38646450423,儿子学校表现突出，胖龙奖励打台球吃自助，41元一位烤肉吃到爽
1055456579,BV1agG16jECx,36667131577,儿子学校表现突出，胖龙奖励打台球吃自助，41元一位烤肉吃到爽
332366724,BV1agG16jECx,36667131577,魔鬼椒涮6斤鲜羊肉，谁能吃辣就是胖龙的关门大弟子，网友评判
332366724,BV1kKcQzPE4D,36544842359,魔鬼椒涮6斤鲜羊肉，谁能吃辣就是胖龙的关门大弟子，网友评判
204710523,BV1kKcQzPE4D,36544842359,鸡头吃过不少。胖龙网购 8斤鸵鸟头，做个“麻辣鸟头，味道会是怎么样？
204710523,BV164NuzWEuc,36044607437,鸡头吃过不少。胖龙网购 8斤鸵鸟头，做个“麻辣鸟头，味道会是怎么样？
116662502232551,BV164NuzWEuc,36044607437,儿子回来了，胖龙做他爱吃的铁板肥肠，爷俩吃的满嘴油，真香
116662502232551,BV1dwcnzvEG2,26725057176,儿子回来了，胖龙做他爱吃的铁板肥肠，爷俩吃的满嘴油，真香
113564891420988,BV1dwcnzvEG2,26725057176,儿子近视了，胖龙买个大猪头，猪头肉夹烧饼，儿子吃的真过瘾
113564891420988,BV1B1m8Y6Equ,30829053702,儿子近视了，胖龙买个大猪头，猪头肉夹烧饼，儿子吃的真过瘾
114699114910519,BV1B1m8Y6Equ,30829053702,晚上等孩子睡着后 小强偷偷带媳妇出去吃夜宵 来看看都有啥 吃的好开心
114699114910519,BV1uE3uzHEQE,31732532924,晚上等孩子睡着后 小强偷偷带媳妇出去吃夜宵 来看看都有啥 吃的好开心
113339036409531,BV1uE3uzHEQE,31732532924,胖龙买一只跑山鸡，在家做“火锅鸡”，又辣又热真过瘾
113339036409531,BV1CDYYzAEsG,31494704792,胖龙买一只跑山鸡，在家做“火锅鸡”，又辣又热真过瘾
115699557077898,BV1CDYYzAEsG,31494704792,胖龙做商业版“稻香肉”堪称下饭天花板，一锅米饭都不够吃！
115699557077898,BV13TtJztEBf,477302500,胖龙做商业版“稻香肉”堪称下饭天花板，一锅米饭都不够吃！
114777498063021,BV13TtJztEBf,477302500,300元买了10斤小龙虾，胖龙做个“蒜蓉麻辣小龙虾”10包泡面不够吃
114777498063021,BV11L411V7rn,39727206008,300元买了10斤小龙虾，胖龙做个“蒜蓉麻辣小龙虾”10包泡面不够吃
113547761815579,BV11L411V7rn,39727206008,40度的天胖龙180买了五斤吊龙，在家吃铜锅涮，越吃越热，越热越想吃！
113547761815579,BV1ugMt6UEso,1443135820,40度的天胖龙180买了五斤吊龙，在家吃铜锅涮，越吃越热，越热越想吃！
